Id,Prompt,Completion
142,ᱪᱟᱥ ᱩᱭᱦᱟᱹᱨ ᱨᱮᱭᱟᱜ ᱩᱛᱱᱟᱹᱣ ᱞᱟᱹᱜᱤᱫ ᱥᱚᱨᱮᱥ ᱩᱯᱟᱹᱭ ᱫᱚ ᱪᱮᱫ?,ᱱᱟᱦᱟᱜ ᱵᱳᱭᱫᱽᱫᱷᱤᱠ ᱦᱚᱨᱟ ᱥᱟᱶ ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱩᱯᱟᱹᱭ ᱨᱮᱭᱟᱜ ᱥᱮᱞᱮᱫ ᱾
143,ᱴᱚᱴᱷᱟ ᱨᱮᱭᱟᱜ ᱵᱚᱱᱫᱮᱡ ᱠᱚ ᱦᱚᱭᱦᱩᱫᱥᱤᱫ ᱵᱚᱱᱫᱮᱡ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱨᱦᱚᱸ ᱫᱟᱲᱮᱹᱣᱟᱱᱟᱜ?,"ᱩᱱᱠᱚ ᱫᱚ ᱯᱚᱨᱤᱢᱟᱱᱼᱵᱩᱴᱟᱹ ᱩᱯᱟᱹᱭ ᱟᱨ ᱩᱯᱟᱹᱭ ᱪᱮᱛᱟᱱ ᱨᱮ ᱴᱮᱦᱟᱴᱚᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱩᱱᱠᱚᱫᱚ ᱵᱮᱣᱦᱟᱨ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾"
144,ᱠᱷᱟᱹᱨᱰᱩ ᱪᱟᱥ ᱨᱮ ᱫᱟᱜ ᱵᱟᱡᱮᱴ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ?,ᱱᱚᱶᱟ ᱫᱚ ᱠᱚᱢ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱩᱯᱟᱹᱭ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱢᱤ ᱟᱱᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱮ ᱜᱚᱴᱟ ᱞᱮᱫᱟ ᱟᱨ ᱟᱹᱰᱤ ᱰᱷᱮᱨ ᱠᱷᱩᱞᱟᱹᱣ ᱮ ᱵᱚᱱᱚᱫᱚᱞ ᱞᱮᱫᱟ ᱾
145,ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱪᱟᱥ ᱩᱯᱟᱹᱭ ᱫᱚᱦᱚ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱫ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ?,ᱜᱟᱫᱮᱞ ᱠᱚ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱢᱤᱣᱟᱱ ᱥᱮᱞᱮᱫ ᱟᱨ ᱱᱟᱦᱟᱜ ᱥᱟᱭᱱᱥ ᱥᱟᱞᱟᱜ ᱥᱮᱞᱮᱫ ᱾
146,ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱱᱟᱦᱟᱜ ᱪᱟᱥ ᱟᱨᱡᱟᱣ ᱵᱚᱱᱫᱮᱡ ᱠᱚ ᱫᱟᱵᱟ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?,ᱪᱮᱫᱟᱜ ᱥᱮ ᱩᱱᱠᱩ ᱫᱚ ᱮᱴᱟᱜ ᱴᱚᱴᱷᱟ ᱠᱷᱚᱱ ᱥᱤᱢᱤᱛᱟᱱ ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱥᱟᱧᱪᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱵᱟᱹᱲᱛᱤ ᱠᱷᱮᱞᱳᱰ ᱨᱮᱭᱟᱜ ᱮ ᱥᱟᱢᱟᱝ ᱫᱟᱯᱨᱟᱢ ᱞᱮᱱᱟ ᱾
147,ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱵᱟᱝ ᱥᱟᱹᱵᱩᱫᱟᱱ ᱵᱚᱱᱫᱮᱡ ᱦᱚᱨᱟ ᱪᱟᱥ ᱠᱚ ᱮᱥᱮᱨᱼᱟ?,ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱵᱮᱱᱟᱣᱟᱱ ᱟᱨ ᱵᱚᱱᱚᱫᱚᱞ ᱫᱟᱲᱮ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱩᱯᱟᱹᱭ ᱨᱮᱭᱟᱜ ᱜᱩᱱ ᱟᱨ ᱧᱟᱢ ᱨᱮᱭᱟᱜ ᱫᱟᱲᱮ ᱠᱚᱢᱚᱜᱼᱟ ᱾
148,ᱦᱚᱭᱦᱩᱫᱤ ᱟᱨ ᱦᱚᱭᱦᱩᱫᱤ ᱵᱚᱱᱚᱫᱚᱞ ᱪᱟᱥ ᱨᱮ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱮᱥᱮᱨ ᱟᱠᱟᱫᱟᱭ?,"ᱱᱚᱶᱟᱠᱚ ᱫᱚ ᱵᱮᱱᱟᱣᱟᱱ ᱵᱚᱱᱫᱮᱡ ᱮ ᱵᱚᱱᱚᱫᱚᱞᱼᱟ, ᱟᱨᱡᱟᱣ ᱠᱚᱢᱼᱟ ᱟᱨ ᱡᱚᱢᱟᱜ ᱨᱩᱠᱷᱟᱹᱭᱤ ᱞᱟᱹᱜᱤᱫ ᱟᱱᱟᱴ ᱮ ᱵᱟᱹᱲᱛᱤᱼᱟ ᱾"
149,ᱱᱟᱦᱟᱜ ᱪᱟᱥ ᱫᱚ ᱪᱮᱫ ᱢᱩᱲᱩᱫ ᱟᱱᱟᱴ ᱨᱮᱱᱟᱜ ᱮ ᱥᱟᱢᱟᱝ ᱫᱟᱯᱨᱟᱢ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ?,ᱡᱮᱜᱮᱫ ᱨᱮᱭᱟᱜ ᱡᱚᱢᱟᱜ ᱨᱩᱠᱷᱟᱹᱭᱤ ᱥᱟᱞᱟᱜ ᱡᱳᱜᱟᱡᱳᱜ ᱵᱟᱝ ᱠᱟᱛᱮ ᱦᱚᱭᱦᱩᱫᱥᱤᱫ ᱵᱚᱱᱚᱫᱚᱞ ᱥᱟᱞᱟᱜ ᱥᱟᱡᱟᱹᱣᱟᱱᱟᱜ ᱟᱨ ᱥᱟᱡᱟᱹᱣᱟᱱᱟᱜ ᱵᱟᱹᱲᱛᱤ ᱾
150,ᱦᱚᱭᱦᱩᱫᱤᱼᱥᱢᱟᱨᱴ ᱪᱟᱥ (ᱥᱤ ᱮᱥ ᱮ) ᱪᱮᱫ?,ᱥᱤ ᱮᱥ ᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱦᱚᱨᱟ ᱡᱟᱦᱟᱸ ᱦᱚᱭᱦᱩᱫᱤ ᱵᱚᱱᱚᱫᱚᱞ ᱨᱮᱭᱟᱜ ᱟᱶᱛᱟ ᱨᱮ ᱥᱟᱹᱵᱩᱫ ᱟᱱ ᱩᱛᱱᱟᱹᱣ ᱟᱨ ᱡᱚᱢᱟᱜ ᱨᱩᱠᱷᱟᱹᱭᱤ ᱜᱚᱴᱟ ᱞᱟᱹᱜᱤᱫ ᱪᱟᱥ ᱵᱚᱱᱫᱮᱡ ᱨᱮᱭᱟᱜ ᱵᱚᱱᱚᱫᱚᱞ ᱮ ᱠᱚᱨᱟᱣ ᱟᱠᱟᱫᱟ ᱾
151,ᱥᱤ ᱮᱥ ᱮ ᱨᱮᱭᱟᱜ ᱡᱚᱥ ᱫᱚ ᱪᱮᱫ ᱦᱚᱨᱟᱠᱚ ᱵᱚᱱᱚᱫᱚᱞ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ?,ᱪᱟᱥ ᱟᱨᱡᱟᱣ ᱵᱚᱱᱫᱮᱡ ᱟᱨ ᱡᱚᱢᱟᱜ ᱜᱚᱱᱚᱝ ᱪᱤᱱ ᱾
152,ᱥᱤ ᱮᱥ ᱮ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮᱹᱭᱟ?,ᱪᱟᱞᱟᱣᱟᱱ ᱞᱮᱠᱟᱛᱮ ᱪᱟᱥ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮ ᱟᱨ ᱪᱟᱥᱤᱭᱟᱹ ᱠᱚᱣᱟᱜ ᱟᱭ ᱵᱟᱹᱲᱛᱤ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱾
153,ᱦᱚᱭᱦᱤᱸᱥᱤᱫ ᱦᱟᱛᱟᱣ ᱨᱮ ᱥᱤ ᱮᱥ ᱮ ᱪᱮᱫ ᱮᱱᱮᱢᱮ ᱯᱟᱞᱟᱣᱼᱟ?,ᱱᱚᱶᱟ ᱦᱚᱭᱦᱩᱫᱤ ᱵᱚᱱᱚᱫᱚᱞ ᱨᱮᱭᱟᱜ ᱮᱥᱮᱨ ᱨᱮ ᱪᱟᱥ ᱵᱚᱱᱫᱮᱡ ᱨᱮᱭᱟᱜ ᱫᱟᱲᱮᱭ ᱵᱮᱱᱟᱣᱼᱟ ᱾
154,ᱦᱚᱭᱦᱩᱫᱤ ᱵᱚᱱᱚᱫᱚᱞ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱥᱤ ᱮᱥ ᱮ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱮᱥᱮᱨ ᱞᱮᱫᱟᱭ?,"ᱡᱟᱦᱟᱸ ᱴᱷᱟᱶ ᱨᱮ ᱦᱩᱭᱫᱟᱲᱮᱭᱟᱜᱼᱟ, ᱚᱱᱟ ᱴᱷᱟᱶ ᱨᱮ ᱜᱨᱤᱦᱩᱱᱥ ᱜᱮᱥᱮ ᱩᱪᱷᱟᱹᱱ ᱠᱚᱢ ᱠᱟᱛᱮ ᱥᱮ ᱵᱚᱱᱚᱫᱚᱞ ᱠᱟᱛᱮ ᱾"
155,ᱴᱨᱮᱰᱼᱟᱯᱷ ᱥᱟᱞᱟᱜ ᱥᱤ ᱮᱥ ᱮ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱢᱩᱲᱩᱫ ᱟᱹᱨᱤ ᱪᱮᱫ?,"ᱱᱚᱶᱟ ᱫᱚ ᱵᱮᱯᱟᱨ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮ, ᱦᱟᱛᱟᱣ ᱟᱨ ᱠᱚᱢ ᱨᱮᱭᱟᱜ ᱛᱟᱞᱟ ᱨᱮ ᱰᱷᱮᱨ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱡᱳᱜᱟᱡᱳᱜ ᱞᱟᱹᱜᱤᱫ ᱮ ᱨᱤᱠᱟᱹ ᱞᱮᱫᱟ ᱾"
156,ᱥᱤ ᱮᱥ ᱮ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱶᱟᱱ ᱢᱮᱱᱛᱮ ᱢᱚᱱᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ?,"ᱱᱚᱶᱟ ᱫᱚ ᱪᱟᱥ ᱩᱛᱱᱟᱹᱣ ᱨᱮᱭᱟᱜ ᱰᱟᱦᱟᱨ ᱨᱮ ᱥᱟᱹᱵᱩᱫᱟᱱ, ᱚᱱᱩᱢᱟᱹᱱ ᱟᱨ ᱚᱱᱩᱢᱟᱹᱱ ᱮ ᱥᱮᱞᱮᱫ ᱞᱮᱫᱟ ᱾"
157,ᱥᱤ ᱮᱥ ᱮ ᱚᱠᱟ ᱨᱮ ᱵᱮᱣᱦᱟᱨ ᱦᱩᱭᱩᱜᱼᱟ?,"ᱚᱛᱢᱚᱱ, ᱚᱛᱢᱚᱱ, ᱵᱤᱨ, ᱥᱟᱢᱩᱫ ᱟᱨ ᱫᱟᱜ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱮᱥᱠᱳᱥᱴᱤᱢ ᱨᱮ ᱾"
158,ᱥᱤ ᱮᱥ ᱮ ᱥᱟᱯᱲᱟᱣ ᱨᱮᱭᱟᱜ ᱢᱩᱲᱩᱫ ᱦᱤᱸᱥ ᱠᱚ ᱪᱮᱫ?,"ᱛᱮᱠᱱᱤᱠᱚᱞ, ᱦᱚᱨᱟ, ᱟᱹᱨᱤ, ᱛᱷᱟᱯᱚᱱᱟᱱ ᱵᱚᱱᱫᱮᱡ ᱟᱨ ᱵᱤᱱᱤᱭᱳᱜ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱾"
159,ᱯᱷᱟᱨᱢ ᱞᱮᱵᱷᱮᱞ ᱨᱮ ᱥᱤ ᱮᱥ ᱮ ᱨᱮ ᱪᱮᱫ ᱥᱮᱞᱮᱫ ᱢᱮᱱᱟᱜᱼᱟ?,"ᱚᱛᱢᱚᱱ, ᱯᱷᱚᱞᱚᱠ, ᱜᱚᱭᱟᱨᱚᱱ, ᱢᱟᱱᱡᱩᱠᱡᱚᱥ ᱟᱨ ᱫᱟᱜᱡᱚᱥᱚᱱ ᱨᱮᱭᱟᱜ ᱵᱚᱱᱫᱮᱡ ᱦᱩᱭᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
160,ᱥᱤ ᱮᱥ ᱮ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱮᱥᱠᱳᱥᱴᱚᱢ ᱵᱚᱱᱫᱮᱡ ᱨᱮ ᱜᱚᱲᱚ ᱠᱚ ᱮᱢᱼᱟ?,ᱡᱚᱢᱟᱜ ᱨᱩᱠᱷᱟᱹᱭᱤ ᱟᱨ ᱦᱚᱭᱦᱩᱫᱥᱤᱫ ᱨᱮ ᱴᱮᱠᱟᱣ ᱫᱚᱦᱚ ᱞᱟᱹᱜᱤᱫ ᱟᱨᱡᱟᱹᱭᱟᱱ ᱯᱚᱨᱤᱥᱮᱵᱟ ᱥᱟᱨᱵᱷᱟᱨ ᱫᱚᱦᱚ ᱠᱟᱛᱮ ᱾
161,ᱥᱤ ᱮᱥ ᱮ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱪᱟᱥᱤᱭᱟᱹ ᱠᱚ ᱦᱚᱭᱦᱩᱫᱥᱤᱫ ᱨᱮᱭᱟᱜ ᱦᱤᱫᱤᱡ ᱥᱟᱢᱲᱟᱣ ᱨᱮ ᱜᱚᱲᱚ ᱮᱢᱼᱟ?,"ᱵᱮᱣᱦᱟᱨ ᱟᱨ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱰᱚᱜᱚᱨ, ᱩᱯᱟᱹᱭ ᱟᱨ ᱦᱚᱨᱟ ᱮᱢᱚᱜ ᱥᱟᱨᱵᱷᱟᱨ ᱛᱟᱞᱟᱛᱮ ᱾"
162,ᱥᱤ ᱮᱥ ᱮ ᱫᱟᱨᱟᱭ ᱛᱮ ᱡᱚᱢᱟᱜ ᱵᱚᱱᱫᱮᱡ ᱨᱮ ᱪᱮᱫ ᱪᱮᱫ ᱵᱚᱱᱚᱫᱚᱞ ᱦᱳᱭᱳᱜᱼᱟ ᱾,ᱵᱚᱱᱚᱫᱚᱞ ᱫᱟᱲᱮ ᱵᱟᱹᱲᱛᱤ ᱞᱟᱹᱜᱤᱫ ᱰᱤᱢᱟᱱᱼᱥᱟᱭᱰ ᱯᱚᱨᱤᱢᱟᱱ ᱟᱨ ᱜᱚᱱᱚᱝ ᱪᱤᱱ ᱨᱮ ᱵᱟᱹᱲᱛᱤ ᱾
163,ᱥᱤ ᱮᱥ ᱮ ᱨᱮ ᱮᱥᱮᱨᱟᱱ ᱠᱚ ᱥᱟᱞᱟᱜ ᱡᱳᱜᱟᱡᱳᱜ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ?,"ᱪᱮᱫᱟᱜ ᱥᱮ, ᱥᱤ ᱮᱥ ᱮ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱠᱚ ᱵᱮᱱᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱟᱭᱢᱟ ᱥᱮᱪᱟᱨ ᱟᱨ ᱠᱟᱹᱢᱤᱭᱟᱹ ᱠᱚ ᱢᱩᱫᱨᱮ ᱡᱳᱜᱟᱡᱳᱜ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
164,ᱥᱤ ᱮᱥ ᱮ ᱨᱮ ᱟᱹᱨᱤ ᱠᱚ ᱪᱮᱫ ᱮᱱᱮᱢ ᱠᱚ ᱯᱟᱞᱟᱣᱼᱟ?,ᱩᱱᱠᱚᱫᱚ ᱥᱟᱹᱵᱩᱫᱟᱱ ᱪᱟᱥ ᱦᱚᱨᱟ ᱠᱚ ᱥᱟᱯᱲᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱜᱚᱲᱚ ᱦᱚᱨᱟ ᱠᱚ ᱵᱮᱱᱟᱣ ᱞᱮᱫᱟ ᱾
165,ᱥᱤᱹ ᱮᱥ ᱮᱹ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱠᱚᱢ ᱚᱠᱛᱚ ᱨᱮᱭᱟᱜ ᱟᱨ ᱰᱷᱮᱨ ᱚᱠᱛᱚ ᱨᱮᱭᱟᱜ ᱡᱚᱥ ᱠᱚ ᱥᱟᱢᱵᱲᱟᱣᱼᱟ?,ᱟᱭᱢᱟ ᱫᱤᱱ ᱞᱟᱹᱜᱤᱫ ᱦᱟᱛᱟᱣ ᱟᱨ ᱠᱚᱢ ᱨᱮᱭᱟᱜ ᱠᱟᱛᱷᱟ ᱜᱚᱴᱟ ᱠᱟᱛᱮ ᱩᱱᱚᱠᱛᱚ ᱡᱚᱢᱟᱜ ᱨᱩᱠᱷᱟᱹᱭᱤ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱠᱚ ᱧᱮᱞ ᱠᱟᱛᱮ ᱾
166,ᱥᱤ ᱮᱥ ᱮ ᱨᱮ ᱡᱚᱢᱟᱜ ᱨᱮᱭᱟᱜ ᱜᱚᱱᱚᱝ ᱪᱤᱱ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ?,"ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱵᱮᱱᱟᱣ, ᱦᱟᱹᱴᱤᱧ ᱟᱨ ᱵᱮᱣᱦᱟᱨ ᱮ ᱮᱥᱮᱨᱼᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱥᱟᱱᱟᱢᱟᱜ ᱥᱟᱵ ᱫᱚᱦᱚ ᱫᱟᱲᱮᱭ ᱮᱥᱮᱨᱼᱟ ᱾"
167,ᱥᱤ ᱮᱥ ᱮ ᱨᱮᱭᱟᱜ ᱠᱟᱛᱷᱟ ᱞᱮᱠᱟᱛᱮ ᱞᱮᱡᱤᱞᱤᱭᱮᱱᱥᱤ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱫ ᱪᱮᱫ?,ᱪᱟᱥ ᱵᱚᱱᱫᱮᱡ ᱨᱮᱭᱟᱜ ᱦᱚᱭᱦᱩᱫᱤᱥ ᱥᱟᱞᱟᱜ ᱡᱳᱜᱟᱡᱳᱜ ᱫᱚᱦᱚ ᱟᱨ ᱨᱩᱣᱟᱹᱲ ᱨᱮᱭᱟᱜ ᱫᱟᱲᱮ ᱾
168,ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱥᱤ ᱮᱥ ᱮ ᱥᱮᱨᱣᱟ ᱟᱱᱟᱜ ᱦᱚᱨᱟ ᱠᱷᱚᱱ ᱵᱷᱮᱜᱟᱨ ᱦᱩᱭ ᱟᱠᱟᱱᱟ?,"ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮ, ᱦᱟᱛᱟᱣ ᱟᱨ ᱠᱚᱢ ᱨᱮᱭᱟᱜ ᱪᱮᱛᱟᱱ ᱨᱮ ᱱᱚᱶᱟ ᱨᱮᱭᱟᱜ ᱥᱮᱞᱮᱫ ᱟᱱᱟᱜ ᱛᱟᱞᱢᱟ ᱾"
169,ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱥᱤ ᱮᱥ ᱮ ᱡᱮᱜᱮᱫ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱠᱟᱱᱟ?,ᱦᱚᱭᱦᱩᱫᱤ ᱵᱚᱱᱚᱫᱚᱞ ᱨᱮᱭᱟᱜ ᱮᱥᱮᱨ ᱠᱚ ᱥᱟᱢᱲᱟᱶ ᱚᱠᱛᱚ ᱱᱚᱶᱟ ᱫᱚ ᱡᱚᱢᱟᱜ ᱨᱩᱠᱷᱟᱹᱭᱤ ᱨᱮᱭᱟᱜ ᱟᱱᱟᱴ ᱠᱚ ᱥᱟᱢᱲᱟᱶᱼᱟ ᱾
170,ᱫᱟᱜ ᱮᱢ ᱪᱮᱫ ᱠᱟᱱᱟ?,ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱵᱟᱹᱲᱛᱤ ᱟᱨ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮ ᱞᱟᱹᱜᱤᱫ ᱯᱚᱨᱤᱢᱟᱱ ᱚᱠᱛᱮ ᱨᱮ ᱪᱟᱥ ᱨᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱨᱤ ᱟᱱᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱾
171,ᱪᱟᱥ ᱨᱮ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ?,"ᱡᱟᱦᱟᱸ ᱚᱠᱛᱚ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱵᱟᱝ ᱦᱚᱭᱩᱜ ᱟ, ᱩᱱ ᱚᱠᱛᱚ ᱱᱚᱶᱟ ᱫᱟᱜ ᱥᱟᱨᱵᱷᱟᱨ ᱮ ᱠᱚᱨᱟᱣᱼᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱜᱚᱴᱟᱵᱩᱴᱟᱹ ᱯᱷᱚᱞᱮ ᱨᱮᱭᱟᱜ ᱵᱟᱹᱲᱛᱤ ᱟᱨ ᱟᱨᱡᱟᱣ ᱮ ᱜᱚᱴᱟ ᱞᱮᱫᱟ ᱾"
172,ᱥᱟᱧᱪᱟᱣ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱱᱩᱴᱤᱨᱤᱱᱴ ᱮᱥᱮᱨ ᱨᱮ ᱜᱚᱲᱚ ᱟᱭ ᱾,ᱫᱟᱜ ᱚᱛᱢᱚᱱ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱚᱛᱢᱚᱱ ᱚᱛᱢᱚᱱ ᱛᱟᱞᱟᱛᱮ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱟᱭᱢᱟ ᱦᱤᱸᱥ ᱨᱮ ᱰᱩᱞᱟᱣᱼᱟ ᱾
173,ᱜᱷᱩᱨᱩᱢ ᱚᱠᱛᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ?,ᱱᱚᱶᱟ ᱫᱚ ᱵᱳᱫᱽᱫᱷ ᱨᱮᱭᱟᱜ ᱮᱝᱥᱮᱨ ᱞᱟᱹᱜᱤᱫ ᱞᱟᱹᱠᱛᱤ ᱟᱱ ᱫᱟᱜ ᱮ ᱮᱢᱚᱜᱼᱟ ᱾
174,ᱥᱮᱪ ᱨᱮᱭᱟᱜ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱚᱛ ᱨᱮᱭᱟᱜ ᱚᱛ ᱨᱮ ᱮᱥᱮᱨ ᱦᱩᱭᱩᱜᱼᱟ?,"ᱱᱚᱶᱟ ᱫᱚ ᱚᱛ ᱨᱮᱭᱟᱜ ᱫᱟᱜ ᱮ ᱵᱟᱹᱲᱛᱤᱼᱟ, ᱡᱟᱦᱟᱸ ᱱᱚᱶᱟ ᱫᱚ ᱟᱨᱦᱚᱸ ᱫᱟᱲᱮᱹᱣᱟᱱᱟᱜ ᱟᱨ ᱡᱳᱞ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱟᱞᱜᱟᱼᱟ ᱾"
175,ᱯᱷᱚᱞᱮ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱥᱮᱪ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱪᱮᱫ ᱮᱥᱮᱨ ᱦᱩᱭᱩᱜᱼᱟ?,ᱱᱚᱶᱟ ᱫᱚ ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮ ᱟᱹᱰᱤ ᱵᱟᱹᱲᱛᱤᱼᱟ ᱾
176,ᱚᱛ ᱨᱮᱭᱟᱜ ᱥᱮᱪ ᱫᱚ ᱪᱮᱫ?,ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱦᱚᱨᱟ ᱡᱟᱦᱟᱸᱛᱮ ᱰᱩᱵᱩᱱᱞ ᱥᱮ ᱫᱟᱜᱫᱩᱱᱩᱞ ᱛᱟᱞᱟᱛᱮ ᱫᱟᱜ ᱥᱚᱨᱟᱥᱚᱨᱤ ᱚᱛ ᱨᱮᱭᱟᱜ ᱪᱮᱛᱟᱱ ᱨᱮ ᱵᱮᱣᱦᱟᱨ ᱦᱩᱭᱩᱜᱼᱟ ᱾
177,ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱚᱛ ᱨᱮᱭᱟᱜ ᱥᱮᱪ ᱠᱚᱢ ᱫᱟᱲᱮᱹᱣᱟ?,"ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱚᱵᱷᱟᱵᱽ ᱨᱮᱭᱟᱜ ᱦᱟᱨ ᱚᱡᱮᱛᱮ ᱚᱛᱢᱚᱱ, ᱦᱚᱭᱦᱩᱫᱤ ᱟᱨ ᱪᱟᱥ ᱨᱮᱭᱟᱜ ᱦᱚᱨᱟ ᱠᱚ ᱫᱟᱨᱟᱭ ᱛᱮ ᱮᱥᱮᱨᱚᱜᱼᱟ ᱾"
